Retailers,Attribute,Tags,Category,Query
ajio,saree-type,Bandhani,Saree,Bandhani saree
ajio,saree-type,Ruffled,Saree,Ruffled saree
ajio,saree-type,Kanjeevaram,Saree,Kanjeevaram saree
ajio,saree-type,Tant,Saree,"Tant saree, bengal saree"
ajio,saree-type,Banarasi,Saree,Banarasi saree
ajio,Saree-print,Floral,Saree,Floral print saree
ajio,Saree-print,Checks,Saree,Checks saree
ajio,Saree-print,Polka Dot,Saree,Polka dot saree
ajio,Saree-print,Geometric,Saree,Geometric print saree
ajio,Saree-embellishment,Tassle,Saree,Tassel Saree
ajio,Saree-embellishment,Zari,Saree,Zari Saree
ajio,Saree-embellishment,Sequence,Saree,"Sequenced saree, sequined saree"